,Date,User,Tweet
0,2019-05-18 23:50:47+00:00,advosushildixit,"@anjanaomkashyap I am seeing you as future #bjp spokesperson..
Good luck. Anjana Om Modi oops Kashyap.
Journalists like you changed the meaning of journalism. Janta maaf nai karege"
1,2019-05-18 23:20:00+00:00,airnewsalerts,"Trinamool Congress Sitting MP Abhishek Banerjee sends a defamation notice to Senior BJP leader &amp; Prime Minister #NarendraModi for his alleged derogatory remarks made against him, in a public rally. 

#PollsWithAIR | #LokSabhaElections2019"
2,2019-05-18 23:00:03+00:00,jiaeur,"#LokSabhaElections2019 
23rd May 2019 will reveal ..
Even ECISVEEP could not help Modi Win 🤔

Janatab Mann Banaata Hai to
Chupke Se Be Jor Se Tappad Deta Hai .."
3,2019-05-18 22:53:54+00:00,PVenkatGandhi,"#LokSabhaElections2019 
23rd May 2019 will reveal ..
Even @ECISVEEP could not help Modi Win 🤔

Janatab Mann Banaata Hai to
Chupke Se Be Jor Se Tappad Deta Hai .."
4,2019-05-18 22:20:48+00:00,TheNirbhay1,"PM Modi creates a new record of being the only PM of a democratic country. 
Congratulations our pm welcome to the Heart of India again 🙏🙏🙏🙏🙏🙏🙏 .#Elections2019 #PMModi #DeshKaGauravModi #2020Election #BJP #India"
5,2019-05-18 22:16:26+00:00,ankitgarg20,"My somewhat biased exit poll for India elections based on ground reports that I have been following - BJP will cross simple majority alone. Bengal and UP will come as biggest surprises. 

Namo Again 2019!

#GroundedAnalysis #Namo #Modi #LokSabhaElections2019"
6,2019-05-18 21:51:56+00:00,pkm1999,"@rupasubramanya Even assuming statistical errors in the  estimation , #BJP is expected to do better in the 80 Seats of #UttarPradesh   then the projections given earlier by all forecasts .....       @milindkhandekar"
7,2019-05-18 21:43:15+00:00,rohanmodi,@abhijitmajumder Small correction. Nobody gets appointed in #BJP  as PM. They work for it from the ground level over the years.
8,2019-05-18 21:36:20+00:00,Jmend124,We still fucking dancing 🕺🏼 ♏️ #INC
9,2019-05-18 21:22:29+00:00,ShakeChilli,"@abhijitmajumder Appointment of Successor! 

God forbid if we allow BJP to stoop so low. That will be end of #RSS ideological high ground 

Post this election results #BJP will have new president and things will move on. 

As per bar set within party Modi should not contest LS 2024 @74years age"
10,2019-05-18 21:20:05+00:00,sharmagandharvv,"So Kolkata Votes in less than 5 hours.

All The Very Best! ✌

#Phase7 #VotingRound7 
#Kolkata #KolkataVotes
#Elections2019 #BattleOf2019
#Bengal #WestBengal
#BJP #TMC #INC #CPIM
#LokSabhaElections2019"
11,2019-05-18 21:19:44+00:00,UttarrPradesh,Which of the following should be top priority of Modi Government after #Loksabhaelections2019
12,2019-05-18 21:09:32+00:00,1mranhashmi,"(3/3)The major difference btw 2014 and 2019 Elections is the role of media, they have become a mouth piece of parties specifically BJP. They played major role in hiding the failures of Govt and by not projecting real issues in last five years. #LokSabhaElections2019"
13,2019-05-18 21:00:52+00:00,Mdsr20351488,"After 5yrs of Modi 🙁

-SC vs SC
-EC vs EC
-Media vs Media 
-RBI vs RBI
-CBI vs CBI
-Friends vs Friends

Another 5yrs wil be🥺

-Army vs Army
-Cops vs Cops
-Family vs Family

@kunalkamra88 @prakashraaj 
@BDUTT @TheQuint @ndtv @sardesairajdeep
@dhruv_rathee 
#LokSabhaElections2019"
14,2019-05-18 20:41:11+00:00,ShaileshWrites,"@RenukaJain6
I still remember your video massage. We all were disappointed when #BJP lost 3 states. You broke into tears!!
Now, It's time for big celebration!
Soon We will receive tweet from honourable @narendramodi ji―
""India has Won again!! भारत की जीत। चलो अब दौड लगाये!😊"""
15,2019-05-18 20:35:54+00:00,1mranhashmi,"(1/3)In 2014 BJP got 31.34% of votes and remaining 68.64% votes were polled to other parties, there was an anti-incumbency against the then Congress govt and issues like Corruption, 2G &amp; Coal scam, Black Money, National security, Petrol/Diesel &amp; Inflation.#LokSabhaElections2019"
16,2019-05-18 20:34:01+00:00,iamljp,#bjp @BJP4India @INCIndia @INCKarnataka how much you think Modi spends my tax money on fake photography? Fake channels? Fake propaganda? Fake news? Fake advertisements? #chorchowkidar
17,2019-05-18 20:05:42+00:00,Kevin95958680,@ArvindKejriwal you actually have the audacity to think you even matter in the current political scenario... That #BJP will try to assassinate you.. please get over yourself you worthless piece of trash #KejriwalAssassinationClaim #ArvindKejriwal #ModiObsession
18,2019-05-18 19:55:37+00:00,wisdom_quo,"#BreakingNews

Exit Poll results leaked

BJP: 30
Congress: 285
Gathbandhan: 70
Others: 158

NOTE: Number of seats they are losing deposits on.

#LokSabhaElections2019 #ExitPolls #Elections2019"
19,2019-05-18 19:52:04+00:00,shinde_tanvay,@timesfactcheck please guys report this page this page is working under @toi but in reality this page works under BJP party. I am not lying go on their all latest tweets u will find everything in favour of Modi. Times of India is sold to BJP #BJP #BJPseDemocracyBachao #Congress
20,2019-05-18 19:49:52+00:00,Sunnysweet16,Wonder why no academic or journalist asks INC India and Rahul Gandhi a simple question-what danger was there to the original constitution that they changed it more than 100 times in the course of 55 yrs they ruled? #LokSabhaElections2019
21,2019-05-18 19:38:52+00:00,JosephPravinP,"@SitaramYechury What?? You expect #bjp to take action against #bjp.. Come on!!

#ElectionCommission"
22,2019-05-18 19:34:16+00:00,TheShobhitAzad,"#AzadPrediction
#LokSabhaElections2019 

BJP - 290 to 315

NDA - 340 to 355

Take Screen Shot for 23rd May Result 

@narendramodi @AmitShah 

#AayegaTohModiHi"
23,2019-05-18 19:33:41+00:00,Jaydeep_Bapat,"#KejriwalAssassinationClaim is fake. He's smart enough to know that #Muslim appeasement won't get him any #vote 
When he begged for alliance with #Congress, his true motive was exposed. 
He'll be smashed and thrown out. Why would #BJP or #Congress waste their energy to kill him?"
24,2019-05-18 19:31:46+00:00,IRFAN5BHAYA,@anjanaomkashyap @anjanaomkashyap Hw much u sell your self to ##BJP ????
25,2019-05-18 19:31:06+00:00,tweeetaar,"New prefix buzz word 
""Khan Market Gang""
#KhanMarketGang
#LokSabhaElections2019
#DeshKaGauravModi
#BJP4India
#BJP"
26,2019-05-18 19:30:30+00:00,Jaydeep_Bapat,"#KejriwalAssassinationClaim is as genuine as #kejriwal himself. 
I've not seen such case. Exponential rise and steepest of fall.
His descend was faster than speed of light. 
#India and #Delhi looked up to him as an option for #Congress and #BJP but he proved to be worst than them"
27,2019-05-18 19:27:54+00:00,sheikh541,"#BJP was renamed as Safroon Party then again it was named as Modi Party.

could any body guess what will be next name of the party...

@asadowaisi @warispathan @syedasimwaqar @aimim_national @shaukat_aimim 
#ModiHaiTohGodseHai #ModiInKedarnath #KejriwalAssassinationClaim"
28,2019-05-18 19:18:47+00:00,SKeeranagi,@YashwantSinha Sir you should be asking people to not elect #Modi as he is a cult and a #ConMan i personal don't respect #BJP but you are a true leader.
29,2019-05-18 19:16:28+00:00,pintoo2060,"@IamIconoclast @Election_in Agree with your #Punjab analysis
But my prediction about #Chandigarh is that #BJP #kironkher will win  #Elections2019"
30,2019-05-18 19:12:21+00:00,AV_DESH_PREMI,"#BJP WIN (313) #NDA 380
#Congress Win 57 
#Other 103
#23rdmay #ArnabOnMay23 
#ABP #ZeeNewsGold #aajtak @ZeeNewsHindi @Republic_Bharat @aajtak @abpnewshindi @news24tvchannel @sardanarohit @News18India @indiatvnews"
31,2019-05-18 19:09:30+00:00,Mdsr20351488,"All Pakistanis had serious doubts on concept of TwoNationTheory, they always hold grudge 4 amount of losses suffered during partition

But now they like Modi alot 4 clarifying TNT in best possible way

@kunalkamra88
@BDUTT @TheQuint 
@dhruv_rathee @AltNews
#LokSabhaElections2019"
32,2019-05-18 19:04:19+00:00,MSingh_16,"Defying the sanctity of Prime Minister Offices this Man chooses to Meditate In cave. 
#modi #bjp"
33,2019-05-18 18:57:29+00:00,sumeetktri,If at all #BJP does not come to power then the first casualty will be #ElectionCommission.
34,2019-05-18 18:56:52+00:00,drnitinchaube,"Congrats for the change #australiavotes2019 and #ScottMorrison sir!

Is the same wind of change going to bring in #Congress or #UPA3Coming #LokSabhaElections2019 along with #Rahul @INCIndia @RahulGandhi @DickDarryl @rkhuria @kukk44 @MahilaCongress"
35,2019-05-18 18:56:33+00:00,imbobby07,"@Saurabh53011651 @SushmaSwaraj Change your statement bro.
The one of the honest leader in #bjp

This is not #corruptCongress"
36,2019-05-18 18:54:01+00:00,mrvivek07,"Peopel Say “Govt Ne 70 Years Kya kiya”.
Unse pucho “70 years Govt kaise Rahi.!??
#KaamBoltaHain..#IndianElections2019 #Congress #Bjp @INCIndia @BJP4India @Election2019NG @aajtak @NavbharatTimes @ZeeNews @timesofindia @htTweets @RahulGandhi"
37,2019-05-18 18:52:22+00:00,MsNaughtySweet,"@VisitorA8Planet @Malkhan56167299 @ANI 23 May BJP gayi ...

#BJP_भगाओ_देश_बचाओ #BJPSupportsTerrorists #LokSabhaElections2019"
38,2019-05-18 18:52:18+00:00,gautamsingh93,"@ShekharGupta Sir, plzz stock up some packs of #burnol .... This will hurt you another 5 years....#Elections2019 #LokSabhaElections2019 #Modi"
39,2019-05-18 18:52:03+00:00,JosephPravinP,"@ajaymaken @RahulGandhi And as a final touch, #Modi ji proved this world that not Rahul but he is the real #Pappu thereby making @RahulGandhi the perfect fit for the future!

Thank you Modi ji 😅
#BJP #Congress #RahulGandhi #Elections2019"
40,2019-05-18 18:50:55+00:00,TheSaptarshiRay,"I think before casting the vote for  last phase  today People should finalize whom they want to see  as next PM
Rahul,Mamata,Akhilesh,Mayavati,Chandrababu,KCR,Devegowda,Modi and then cast vote wisely #LokSabhaElections2019 #majbootsarkar"
